Air_temp,age,sex,thermalsensation,thermalsensationacceptability,thermalpreference,thermalcomfort,clo,met,relativehumidity,airvelocity,BMI,outdoormonthlyairtemperature
34.4,45,Male,2,0,no change,4,0.73,1.1,39.3,0.37,23.84620154,29.5
34.8,45,Male,3,0,no change,3,0.79,1.4,35.7,0.53,22.65625,29.5
34.6,45,Male,1,1,no change,5,0.79,1.4,38.6,0.39,28.22838647,29.5
34.6,45,Female,3,0,no change,5,0.57,1.1,39.6,0.36,29.70839275,29.5
34.4,45,Male,1,1,cooler,3,0.64,1.1,41.2,0.51,29.34917112,29.5
34.4,45,Male,3,0,cooler,5,0.72,1.1,42.1,0.63,24.18745276,29.5
34.4,35,Male,1,1,no change,4,0.58,1.1,43,0.56,22.42810191,29.5
34.1,45,Male,2,0,cooler,3,0.72,1.1,40.7,0.63,23.84620154,29.5
33.8,45,Male,3,1,cooler,4,0.73,1.1,42,0.6,22.74560762,29.5
33.7,45,Male,1,1,warmer,4,0.79,1.1,42.5,0.41,29.296875,29.5
33.8,45,Male,1,1,no change,5,0.73,1.1,41,0.38,24.20811,29.5
34.1,35,Male,2,1,cooler,6,0.73,1.1,38.3,0.5,30.17573341,29.5
33.3,55,Female,2,0,no change,4,0.63,1,52.9,0.27,29.50214004,29.5
33.1,35,Female,1,0,no change,5,0.58,1,53.4,0.35,29.02494331,29.5
33.4,55,Female,3,0,cooler,4,0.78,1.2,55.8,0.59,28.61544185,29.5
33.5,35,Female,2,0,cooler,6,0.78,1,54.7,0.68,39.84309259,29.5
33.3,55,Female,1,0,cooler,5,0.63,1,52.7,0.38,31.47797686,29.5
33.2,45,Male,2,0,cooler,5,0.68,1,52.5,0.42,24.92011324,29.5
33.4,35,Male,2,0,warmer,4,0.62,1,52.2,0.48,21.79358524,29.5
33.5,35,Male,2,0,cooler,5,0.68,1.2,55.1,0.82,23.47414599,29.5
33.8,45,Male,2,0,cooler,4,0.65,1.2,54,0.59,27.41212456,29.5
34.1,25,Female,3,0,no change,4,0.58,1,54,0.55,24.59057697,29.5
34.2,55,Male,3,0,no change,3,0.43,1,53.6,0.42,25.61728395,29.5
34,25,Male,3,0,cooler,5,0.54,1,51.4,0.45,20.64809382,29.5
33.9,55,Male,2,0,cooler,5,0.53,1,52.8,0.22,32.24993701,29.5
33.8,35,Male,0,1,no change,6,0.46,1,52.4,0.66,23.84620154,29.5
33.7,45,Male,1,1,cooler,5,0.67,1,52.7,0.36,23.99402733,29.5
33.5,55,Male,0,1,cooler,5,0.53,1.3,52.3,0.78,25.63211647,29.5
34.1,45,Female,0,1,cooler,5,0.43,1.2,52.3,0.51,28.36744235,29.5
34.1,55,Female,0,1,no change,5,0.43,1,52.7,0.29,27.34375,29.5
34,45,Male,1,0,no change,5,0.77,1.4,50.9,0.55,24.56411162,29.5
34,35,Male,2,0,no change,2,0.68,1,51.2,0.33,20.61025425,29.5
34.3,45,Male,1,1,no change,5,0.53,1.2,49.6,0.58,18.06972789,29.5
34.2,55,Male,2,0,cooler,4,0.46,1,49.7,0.67,24.6092588,29.5
34.3,45,Male,2,0,no change,3,0.74,1.1,49.1,0.55,22.4641571,29.5
34.3,55,Male,2,0,no change,2,0.61,1,48.2,0.86,22.74560762,29.5
